kel_layanan,kel_icd,No DC,Nama DC,kode icd,deskripsi icd/Nama Penyakit,RS kompetensi
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18741,"Fracture, Sprain, Strain & Dislocation of Forearm, Hand & Foot",S68.9,"Traumatic amputation of wrist and hand, level unspecified",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18741,"Fracture, Sprain, Strain & Dislocation of Forearm, Hand & Foot",S69.7,Multiple injuries of wrist and hand,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18741,"Fracture, Sprain, Strain & Dislocation of Forearm, Hand & Foot",S69.8,Other specified injuries of wrist and hand,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18741,"Fracture, Sprain, Strain & Dislocation of Forearm, Hand & Foot",S69.9,Unspecified injury of wrist and hand,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.0,Fracture of neck of femur,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.00,"Fracture of neck of femur, closed",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.000,"Closed Fracture of neck of femur, undisplaced intracapsular fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.001,"Open Fracture of neck of femur, undisplaced intracapsular fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.01,"Fracture of neck of femur, open",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.010,"Closed Fracture of neck of femur, displaced intracapsular fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.011,"Open Fracture of neck of femur, displaced intracapsular fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.020,"Closed Fracture of neck of femur, impacted intracapsular fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.021,"Open Fracture of neck of femur, impacted intracapsular fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.030,"Closed Fracture of neck of femur, midcervical shear fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.031,"Open Fracture of neck of femur, midcervical shear fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.040,"Closed Fracture of neck of femur, base of neck (cervicotrochanteric) (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.041,"Open Fracture of neck of femur, base of neck (cervicotrochanteric) (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.050,Closed Fracture of head of femur (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.051,Open Fracture of head of femur (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.060,Closed Fracture of epiphysis of upper femur (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.061,Open Fracture of epiphysis of upper femur (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.070,"Closed Fracture of neck of femur, multiple (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.071,"Open Fracture of neck of femur, multiple (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.080,"Closed Fracture of neck of femur, others (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.081,"Open Fracture of neck of femur, others (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.090,"Closed Fracture of neck of femur, unspecified (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.091,"Open Fracture of neck of femur, unspecified (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.1,Pertrochanteric fracture,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.10,"Pertrochanteric fracture, closed",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.100,"Closed Intertrochanteric fracture of femur, stable type (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.101,"Open Intertrochanteric fracture of femur, stable type (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.11,"Pertrochanteric fracture, open",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.110,"Closed Intertrochanteric fracture of femur, unstable type (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.111,"Open Intertrochanteric fracture of femur, unstable type (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.180,"Closed Fracture of trochanteric region of femur, others (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.181,"Open Fracture of trochanteric region of femur, others (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.190,"Closed Intertrochanteric fracture of femur, stable type (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.191,"Open Intertrochanteric fracture of femur, stable type (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.2,Subtrochanteric fracture,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.20,"Subtrochanteric fracture, closed",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.21,"Subtrochanteric fracture, open",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.3,Fracture of shaft of femur,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.30,"Fracture of shaft of femur, closed",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.300,"Closed Fracture of shaft of femur, simple fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.301,"Open Fracture of shaft of femur, simple fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.31,"Fracture of shaft of femur, open",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.310,"Closed Fracture of shaft of femur, butterfly fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.311,"Open Fracture of shaft of femur, butterfly fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.320,"Closed Fracture of shaft of femur, comminuted fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.321,"Open Fracture of shaft of femur, comminuted fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.370,"Closed Fracture of shaft of femur, bifocal and segmental and (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.371,"Open fracture of shaft of femur, bifocal and segmental and multiple (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.390,"Closed Fracture of shaft of femur, unspecified (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.391,"Open Fracture of shaft of femur, unspecified (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.4,Fracture of lower end of femur,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.40,"Fracture of lower end of femur, closed",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.400,"Closed Fracture of distal femur, supracondylar (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.401,"Open Fracture of distal femur, supracondylar (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.41,"Fracture of lower end of femur, open",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.410,"Closed Fracture of distal femur, lateral condyle (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.411,"Open Fracture of distal femur, lateral condyle (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.420,"Closed Fracture of distal femur, medial condyle (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.421,"Open Fracture of distal femur, medial condyle (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.430,"Closed Fracture of distal femur, other parts of condyle and epicondyle (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.431,"Open Fracture of distal femur, other parts of condyle and epicondyle (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.440,"Closed Fracture of distal femur, T-shape intraarticular fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.441,"Open Fracture of distal femur, T-shape intraarticular fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.450,"Closed Fracture of distal femur, multifragment intraarticular fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.451,"Open Fracture of distal femur, multifragment intraarticular fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.460,"Closed Fracture of distal femur, multiple fractures (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.461,"Open Fracture of distal femur, multiple fractures (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.470,Closed Fracture of distal femoral epiphysis (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.471,Open Fracture of distal femoral epiphysis (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.480,"Closed Fracture of distal femur, others (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.481,"Open Fracture of distal femur, others (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.490,"Closed Fracture of distal femur, unspecified (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.491,"Open Fracture of distal femur, unspecified (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.7,Multiple fractures of femur,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.70,"Multiple fractures of femur, closed",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.71,"Multiple fractures of femur, open",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.8,Fractures of other parts of femur,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.80,"Fractures of other parts of femur, closed",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.81,"Fractures of other parts of femur, open",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.9,"Fracture of femur, part unspecified",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.90,"Fracture of femur, part unspecified, closed",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18611,Fracture of Femur,S72.91,"Fracture of femur, part unspecified , open",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S73.0,Dislocation of hip,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S73.00,"Dislocation of hip, anterior (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S73.01,"Dislocation of hip, posterior type with or without minor fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S73.02,"Dislocation of hip, posterior type with large single fracture (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S73.03,"Dislocation of hip, posterior type with comminution of rim (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S73.04,"Dislocation of hip, posterior type with fracture of the acetabular (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S73.05,"Dislocation of hip, posterior type with fracture of head of femur (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S73.08,"Dislocation of hip, other (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S73.09,"Dislocation of hip, unspecified (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S73.1,Sprain and strain of hip,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S76.0,Injury of muscle and tendon of hip,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S76.1,Injury of quadriceps muscle and tendon,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S76.2,Injury of adductor muscle and tendon of thigh,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S76.3,Injury of muscle and tendon of the posterior muscle group at thigh level,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S76.4,Injury of other and unspec muscles and tendons at thigh level,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S76.7,Injury of multiple muscles and tendons at hip & thigh level,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S77.0,Crushing injury of hip,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S77.1,Crushing injury of thigh,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S77.2,Crushing injury of hip with thigh,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S78.0,Traumatic amputation at hip joint,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S78.1,Traumatic amputation at level between hip and knee,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S78.9,"Traumatic amputation of hip and thigh, level unspecified",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18631,"Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh",S79.7,Multiple injuries of hip and thigh,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.0,Fracture of patella,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.00,"Fracture of patella, closed",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.01,"Fracture of patella, open",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.1,Fracture of upper end of tibia,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.10,"Fracture of upper end of tibia, closed",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.100,"Closed Fracture of proximal tibia, extraarticular (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.101,"Open Fracture of proximal tibia, extraarticular (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.11,"Fracture of upper end of tibia , open",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.110,"Closed Fracture of proximal tibia, medial condyle (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.111,"Open Fracture of proximal tibia, medial condyle (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.120,"Closed Fracture of proximal tibia, lateral condyle [split] (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.121,"Open Fracture of proximal tibia, lateral condyle [split] (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.130,"Closed Fracture of proximal tibia, bicondyle (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.131,"Open Fracture of proximal tibia, bicondyle (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.140,"Closed Fracture of proximal tibia, with ligamentous injury (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.141,"Open Fracture of proximal tibia, with ligamentous injury (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.150,Closed Isolated fracture of tibial spine and intercondylar eminence (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.151,Open Isolated fracture of tibial spine and intercondylar eminence (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.160,Closed Fracture of epiphysis of proximal tibia (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.161,Open Fracture of epiphysis of proximal tibia (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.170,"Closed Fracture of proximal tibia, multiple fractures (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.171,"Open Fracture of proximal tibia, multiple fractures (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.180,"Closed Fracture of proximal tibia, others (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.181,"Open Fracture of proximal tibia, others (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.190,"Closed Fracture of proximal tibia, unspecified (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.191,"Open Fracture of proximal tibia, unspecified (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.2,Fracture of shaft of tibia,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.20,"Fracture of shaft of tibia, closed",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.200,Closed Fracture of shaft of tibia with intact fibula (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.201,Open Fracture of shaft of tibia with intact fibula (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.21,"Fracture of shaft of tibia , open",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.210,Closed Fracture of shaft of tibia with fracture of fibula at same level (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.211,Open Fracture of shaft of tibia with fracture of fibula at same level (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.220,Closed Fracture of shaft of tibia with fracture of fibula at different level (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.221,Open Fracture of shaft of tibia with fracture of fibula at different level (IM),Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.270,"Closed Fracture of shaft of tibia, bifocal and segmental and multiple (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.271,"Open Fracture of shaft of tibia, bifocal and segmental and multiple (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.280,"Closed Fracture of shaft of tibia, others (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.281,"Open Fracture of shaft of tibia, others (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.290,"Closed Fracture of shaft of tibia, unspecified (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.291,"Open Fracture of shaft of tibia, unspecified (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.3,Fracture of lower end of tibia,Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.30,"Fracture of lower end of tibia, closed",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.300,"Closed Fracture of distal tibia, extraarticular (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.301,"Open Fracture of distal tibia, extraarticular (IM)",Dasar
Kelompok Layanan Muskuloskeletal dan jaringan lunak,ICD 10,18751,"Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg",S82.31,"Fracture of lower end of tibia , open",Dasar
