kel_layanan,kel_icd,No DC,Nama DC,kode icd,deskripsi icd/Nama Penyakit,RS kompetensi
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B65.1,Schistosom due schis mansoni [intest schistosom],Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B66.0,Opisthorchiasis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B66.1,Clonorchiasis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B66.3,Fascioliasis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B66.5,Fasciolopsiasis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B67.0,Echinococcus granulosus infection of liver,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B67.5,Echinococcus multilocularis infection of liver,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B67.8,"Echinococcosis, unspecified, of liver",Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",E80.4,Gilbert's syndrome,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",E80.5,Crigler-najjar syndrome,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",E80.6,Other disorders of bilirubin metabolism,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",E80.7,"Disorder of bilirubin metabolism, unspecified",Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",I81,Portal vein thrombosis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",I82.0,Budd-chiari syndrome,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",K71.0,Toxic liver disease with cholestasis,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",K71.1,Toxic liver disease with hepatic necrosis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",K71.2,Toxic liver disease with acute hepatitis,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",K71.3,Toxic liver disease with chronic persistent hepatitis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",K71.4,Toxic liver disease with chronic lobular hepatitis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",K71.5,Toxic liver disease with chronic active hepatitis,Utama
